Time,Exch,Contract,Message Type,ExecType,B/S,OrdQty,FillQty,WorkQty,ExeQty,Price,Type,Modifier,TIF,Message,Account,AlgoName,TT Latency,Exch Latency,Route,Originator,CurrentUser,TTOrder ID,Parent ID,ExchOrderID,Date
27:56.9,CME,ZN Sep25,ExecutionReport,Canceled,S,2000,,,772,111'070,Limit,,Day,,Trading,,,,TT SIM,Eric,Eric,e26cf880-c539-434f-ac5a-263372fedb87,,,3-Jul-25
27:24.3,CME,ZN Sep25,ExecutionReport,Trade,S,2000,1,1228,772,111'070,Limit,,Day,,Trading,,,,TT SIM,Eric,Eric,e26cf880-c539-434f-ac5a-263372fedb87,,,3-Jul-25
27:24.2,CME,ZN Sep25,ExecutionReport,Trade,S,2000,44,1229,771,111'070,Limit,,Day,,Trading,,,,TT SIM,Eric,Eric,e26cf880-c539-434f-ac5a-263372fedb87,,,3-Jul-25
27:22.7,CME,ZN Sep25,ExecutionReport,Trade,S,2000,727,1273,727,111'070,Limit,,Day,,Trading,,,,TT SIM,Eric,Eric,e26cf880-c539-434f-ac5a-263372fedb87,,,3-Jul-25
27:22.7,CME,ZN Sep25,ExecutionReport,New,S,2000,,2000,,111'070,Limit,,Day,,Trading,,,,TT SIM,Eric,Eric,e26cf880-c539-434f-ac5a-263372fedb87,,,3-Jul-25
27:16.6,CME,ZN Sep25,ExecutionReport,Canceled,S,1000,,,,111'075,Limit,,Day,,Trading,,,,TT SIM,Eric,Eric,32e508a1-21a7-45e4-b0dc-851aaaf4c1eb,,,3-Jul-25
27:13.1,CME,ZN Sep25,ExecutionReport,New,S,1000,,1000,,111'075,Limit,,Day,,Trading,,,,TT SIM,Eric,Eric,32e508a1-21a7-45e4-b0dc-851aaaf4c1eb,,,3-Jul-25
48:36.5,CME,ZN Sep25,ExecutionReport,Trade,B,1,1,,1,111'075,Limit,,Day,,Trading,,,,TT SIM,Eric,Eric,e4716b30-fc6d-4269-8d94-7e99a6c7faa0,,,3-Jul-25
48:36.5,CME,ZN Sep25,ExecutionReport,New,B,1,,1,,111'080,Limit,,Day,,Trading,,,,TT SIM,Eric,Eric,e4716b30-fc6d-4269-8d94-7e99a6c7faa0,,,3-Jul-25
38:59.5,CME,ZN Sep25,ExecutionReport,Canceled,B,20,,,,111'055,Limit,,Day,,Trading,,,,TT SIM,Eric,Eric,8865324b-ac79-4277-9a3f-190554c6b91b,,,3-Jul-25
